Dent_exp_usd,Dent_exppc_usd,iso3c,Country,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,log_GDP,mu_log_prophy,sigma_log_prophy,Prophy,prophy_var,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
0.0167,0.46,AFG,Afghanistan,31222195.762415607,4829792.382241702,0.0242486438673279,0.00275344427633834,0.0477546676524796,0.00950878115189285,1435.87845849541,1845.92971927636,1089.5657583314,7.26953210709532,1.4295241725974455,0.47139275531070945,4.667528663408156,5.421075825610718,2.328320387234265,0.9922722484872306,16.02637820770253,8.904324808741436,2.0617742422813974,3.537310235879249,2.476357735918208,3.445438899915559,-0.6450135339657166,189.15326549170322,494.67839643801653,1049.6971554241475,1575.3099356566536,6.3760866026982015,-1.3477270505000405,3.151770995547454,27.3726335726812,27.888364822042615,59.51417697251353,43.76947682870547,8.652414858232238,57.17815690629975,16.75027442206153,42.74852782690168,217.05749586003685,271.9658023489369,775.2260085821032,1485.5629961247728,6650.171755439226,412.1978987800008,43.908637435421,20.860850202423197,45.906629435243055
0.0363,12.66,ALB,Albania,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,9.453898397543838,3.0073776645744497,0.184380823966291,20.58115412360538,14.647856161549232,3.8272517766080183,14.713348778137844,36.417764858339844,24.530121815732276,5.5986209233261075,40.24039080449298,9.703525233337574,22.783574319697863,95.06940440733374,236.32379352745772,841.4836098001813,1058.5860034129219,4514.4794667668475,164.87621297230345,26.348668313309595,26.51434222006631,50.825937642437026,28.01107506997078,59.64131965051312,43.87098280819557,8.678712546303503,57.6057551654422,16.806984686905412,42.907595780726965,217.82502467638352,272.1148036795395,778.0472178054415,1485.5639650308165,6673.79435407266,413.30669477347925,44.225749691911844,21.332166670085414,46.12439326052673
0.3237,7.46,DZA,Algeria,44197950.69413077,3381449.6637121327,0.0498025811034329,0.00552831948280544,0.1224047683115222,0.01902480921860196,12503.8702057827,13804.0970388439,10177.6946645367,9.433793491831723,2.99285510220822,0.18626528043319093,20.291508124862222,14.536107495933965,3.8126247515240683,14.463609652053579,36.04661853678324,24.245714620679966,5.534246309766495,39.57235318761954,9.571982603211593,22.431598362898896,93.32729364520299,235.4652365167796,835.171362308567,1058.4242163167114,4460.9832539495255,161.99133123884383,25.844562563378453,26.089116975670613,50.39906095754192,28.009592100611798,59.63978140392309,43.86975483989396,8.678394522808063,57.60059536748926,16.806298994434883,42.90567278273271,217.81574505429964,272.1129995619869,778.0131103841586,1485.5639532960704,6673.508753001561,413.29328356489174,44.221922641585955,21.326520709135337,46.12176199985025
0.0146,189.89,AND,Andorra,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.02251271161974739,44149.1876753066,49135.2624360747,38533.5607629857,10.695329806662535,3.9041122884756767,0.16756729658145286,50.307375064452,72.06980406893895,8.489393621981428,40.34394775678216,74.50832231070576,53.718687009026254,12.205354639511745,108.80075028519076,23.203678189817364,58.90668702649498,273.8613423013113,324.4370611040003,1489.3063464623147,1075.190130479051,10004.76846991795,460.95015208816113,78.08478400290441,70.15499190755155,94.63607382505512,28.762985437566705,60.42656669378153,44.497490862482586,8.84061546576072,60.19863981744783,17.15570227645994,43.88458161455734,222.54217179288284,273.04027096769465,795.3798402329866,1485.5699949068157,6818.968090822619,420.14140834966696,46.15031533261443,24.058709753428435,47.457170073252684
0.0702,2.33,AGO,Angola,32706452.127798323,1871268.125927901,0.0182214261135753,0.00221946132419165,0.0696340291706627,0.01233303290510474,5765.65437715755,6985.80948028651,4755.70598405405,8.659673934875169,2.4336781676929053,0.2760378773267236,11.843469546515127,11.105708236312196,3.3325228035697214,7.179525698408446,25.22147868908187,15.950475031018092,3.656646684093623,20.087852854030086,5.735308805459766,12.165596158169581,42.51554761695922,210.42390061228872,651.0634838754929,1053.7054090961915,2900.671453899561,77.84864574002853,11.141425487553521,13.686669558030378,37.948446352682,27.96403045900693,59.592541835847186,43.832042605267176,8.668626335642223,57.44197722694596,16.785236355110023,42.846599655566,217.53069171281672,272.0576119300789,776.9653710304615,1485.563593069231,6664.735573595993,412.8813817005599,44.104280385659585,21.152470927379593,46.04091584137317
0.0048,51.88,ATG,Antigua and Barbuda,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887,9.937387132228087,3.3566205510302947,0.15160656889585927,29.02370259154383,19.58584260364106,4.425589520464031,21.992699038303662,47.235869793451535,32.81997059416726,7.4750003569801375,59.712228783726864,13.537705699346622,33.042904977530625,145.84812950495981,261.34885586766256,1025.4718424041882,1063.3017440313663,6073.777270020425,248.96421682765987,41.042250290024704,38.908729683312544,63.26846099058662,28.076526799996252,59.709252626716065,43.925210397614215,8.692753855914466,57.83329838832467,16.837256409302004,42.99248396723374,218.234681690977,272.1945126750837,779.55287775401,1485.564483569498,6686.40240771571,413.89887977214556,44.39453125559168,21.580177511498093,46.2405147758808
1.106,24.55,ARG,Argentina,45487217.34507201,3181193.6874047257,0.0540102541548344,0.00620817028867669,0.1434921939072546,0.01929567287948215,17984.9588039322,22119.3683946301,15846.5139668735,9.797291065547851,3.2554236643221293,0.15821587572747045,26.257188416527594,17.476062363121397,4.180438058759082,19.607349903959353,43.690916422623246,30.103494136688113,6.860135032768337,53.33155877777496,12.281294243840398,29.681054725931936,129.20859663105043,253.14846590747948,965.1812730970437,1061.7564566911549,5562.815503895548,221.40966318806807,36.227353108833675,34.847248871217516,59.19120667024136,28.048580897356793,59.68023737263504,43.902049575116514,8.686757410780471,57.73618909301543,16.824329323688872,42.956235575789286,218.0597477770354,272.16045945090997,778.909932866394,1485.5642620211872,6681.018462803413,413.64596939946546,44.32249709999462,21.474564057561295,46.19093697602269
0.113,38.05,ARM,Armenia,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,9.387562961809486,2.9594609761632897,0.19071895571033104,19.641562095552835,14.290984980669139,3.780341913196363,13.903211945660273,35.21379129582278,23.607524112496275,5.389794031285347,38.073321961915596,9.276809838849992,21.64178812375689,89.41811493264606,233.5386926582511,821.0071059024885,1058.0611770162145,4340.94137091098,155.51785176450133,24.71338335861992,25.134940289797704,49.441178550892985,28.006338908172047,59.63640709604334,43.86706115105834,8.677696892277204,57.589275647559546,16.80479481885479,42.90145435345908,217.79538866753956,272.1090421589018,777.9382899633223,1485.5639275557144,6672.882239593667,413.26386433640124,44.213526784207,21.314130963705612,46.11598976092413
7.3703,288.25,AUS,Australia,25791946.41304367,877982.6921064835,0.0967796114972019,0.01065218637610834,0.1277225397117073,0.01864461555470589,48647.0457689621,53144.2598326015,44717.4745502844,10.792346361596923,3.9741911532943472,0.17521889503058327,54.030137021671614,91.01602198756166,9.540231757539313,43.55379467975034,79.27859157887588,57.37411567261758,13.032748642571843,117.3869038549951,24.894369244796703,63.430563439471356,296.25234269028687,335.47192224941847,1570.436398071189,1077.2695475935786,10692.34456900382,498.0289586831201,84.56395414992045,75.62032672990287,100.12263428108515,29.00680013462948,60.68342747519545,44.702279042160406,8.893388241345077,61.02999019868535,17.269215795710224,44.20219787315031,224.0767952281327,273.3449389414599,801.0164088670263,1485.571984442882,6866.194353710807,422.3722387019034,46.76794718231134,24.89288763835868,47.888778670916494
2.1157,236.39,AUT,Austria,8982311.518103808,400434.1362788835,0.0960227654285242,0.0113342763671809,0.139690631560241,0.01941850314055014,45775.6169848758,55805.1702329595,39649.9453029265,10.73150684809471,3.9302443851861755,0.1703072411221752,51.66324826118247,78.54944605475576,8.862812536365404,41.513011333361405,76.24570985152224,55.05003663720001,12.506701157171598,111.92792726349104,23.81944753304728,60.55433542415319,282.0164050273921,328.45608585730184,1518.8548547177252,1075.9474783736546,10255.191681011278,474.45468463861334,80.44457311656463,72.14553040610177,96.63434294622353,28.84660239315399,60.514536237700106,44.56763468317043,8.858699226939988,60.48424894521759,17.1946084318031,43.99346498247857,223.06820380822,273.1445062219496,797.3120408420361,1485.5706753321736,6835.156276070827,420.9056868741417,46.36247238767684,24.34721617952706,47.60522132348727
